Nombre,Teléfono,Email,Dirección,Ciudad,Sitio Web,Score
Don Julio Parrilla,+54 11 4831-9564,info@parrilladonjulio.com.ar,"Guatemala 4691, Palermo Viejo",Buenos Aires,parrilladonjulio.com,92
La Cabrera,+54 11 4831-7002,,"Laprida 1611, Flores",Buenos Aires,lacabrera.com.ar,90
Fervor - Parrilla Argentina,+54 11 5171-1330,,"Posadas 1519, Recoleta",Buenos Aires,,88
BASABAR,+54 11 4893-9444,basa@basabar.com.ar,San Telmo,Buenos Aires,basabar.com.ar,85
La Brigada,+54 11 4307-1919,,"Caseros 438, Barracas",Buenos Aires,,83
RouX,,"","Peña 2300, Recoleta",Buenos Aires,,82
Neko Belgrano,,"","Av. Monroe 1850, Belgrano",Buenos Aires,,81
Mikhuna Nikkei,,"",Microcentro,Buenos Aires,,80
El Punto Bar,+54 11 4924-0009,,"Av. Directorio 702, Caballito",Buenos Aires,puntobar.com.ar,79
Parrilla Caballito,+54 11 4901-1972,,"Del Barco Centenera 138, Caballito",Buenos Aires,,78
Rosé Restaurant Bar,+54 11 6275-9506,,Caballito,Buenos Aires,rose.com.ar,77
SACRO Restaurant,,,Palermo,Buenos Aires,sacro.com.ar,76
Club del Progreso,,"Sarmiento 1334, Downtown",Buenos Aires,,75
29noventa Restaurante,,,Belgrano,Buenos Aires,29noventa.com.ar,74
El Caldén del Soho,,"Palermo Soho",Buenos Aires,caldendelsoho.com,73
Corchio,,"Avenida La Heras 2001, Recoleta",Buenos Aires,,72
El Obrero,+54 11 4362-9912,"Agustín R. Caffarena 64, La Boca",Buenos Aires,,71
Bodegón Caballito,+54 11 3297-3030,"Nicasio Oroño 566, Caballito",Buenos Aires,,70
Don Carlos,+54 11 4362-2433,"Brandsen 699, La Boca",Buenos Aires,,69
Cucina Paradiso,+54 11 6275-9506,"Av. Pedro Goyena 1054, Caballito",Buenos Aires,,68
Il Matterello,+54 11 4307-0529,"Martín Rodríguez 517, La Boca",Buenos Aires,,67
Salve Cocina,+54 11 3888-0056,"Emilio Mitre 301, Caballito",Buenos Aires,,66
El Pobre Luis,+54 11 4780-5847,Belgrano,Buenos Aires,,65
Menenga,+54 11 6437-8166,"Espinosa 480, Caballito",Buenos Aires,,64
Le Pain Quotidien,,"Mrcal A. de Sucre 2151, Belgrano",Buenos Aires,,52
