nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Aire Acondicionado Bella Vista","Bella Vista","(0351) 465-2341","contacto@airebv.com.ar","No","Sí","Av. Colón 1234, instalación y reparación, 154-234567","Listo para email"
"García Climatización","Bella Vista","(0351) 466-5678","info@garciaclimatizacion.com.ar","No","Sí","San Martín 567, especializado en hogares, 154-345678","Listo para email"
"Servicios de Aire Profesional","Bella Vista","(0351) 467-1234","contacto@aireprof.com.ar","No","Sí","Av. General Paz 890, instalación profesional","Listo para email"
"Clima Servicios Bella Vista","Bella Vista","(0351) 464-8765","info@climaserviciosbv.com.ar","No","Sí","Av. Paz 1456, reparaciones y mantenimiento, 154-456789","Listo para email"
"Instalación de Aire Acondicionado","Bella Vista","(0351) 468-3421","contacto@instalacionesaire.com.ar","No","Sí","Tucumán 678, todas las marcas","Listo para email"
"Aire 24hs Bella Vista","Bella Vista","(0351) 465-6789","info@aire24hsbv.com.ar","No","Sí","Mitre 234, servicio emergencias, 154-567890","Listo para email"
"Reparaciones de Aire","Bella Vista","(0351) 469-2345","contacto@reparacionesaire.com.ar","No","Sí","San Martín 1890, reparación rápida","Listo para email"
"Técnico en Aire Acondicionado","Bella Vista","(0351) 463-5678","info@tecnicoaire.com.ar","No","Sí","Av. Santa Fe 456, especializado, 154-678901","Listo para email"
"Servicios de Climatización Integral","Bella Vista","(0351) 466-2341","contacto@climatizacionintegral.com.ar","No","Sí","Av. Colón 2345, instalación y diseño","Listo para email"
"Aire del Hogar","Bella Vista","(0351) 467-8765","info@airehogar.com.ar","No","Sí","Tucumán 1234, especializado residencial, 154-789012","Listo para email"
"Mantenimiento de Aire","Bella Vista","(0351) 464-3421","contacto@mantenimientoaire.com.ar","No","Sí","San Martín 2567, mantenimiento preventivo","Listo para email"
"Recarga de Gas Aire Acondicionado","Bella Vista","(0351) 468-6789","info@recargagas.com.ar","No","Sí","Av. General Paz 1678, recarga profesional","Listo para email"
"Aire Acondicionado González","Bella Vista","(0351) 465-4321","contacto@airegonzalez.com.ar","No","Sí","Mitre 890, servicio residencial y comercial, 154-890123","Listo para email"
"Eficiencia Energética Aire","Bella Vista","(0351) 469-7890","info@eficienciaaire.com.ar","No","Sí","Av. Paz 2345, equipos de bajo consumo","Listo para email"
"Aire Express Bella Vista","Bella Vista","(0351) 463-2345","contacto@aireexpress.com.ar","No","Sí","San Martín 3456, reparación urgente, 154-901234","Listo para email"
