nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Carpintería Bella Vista","Bella Vista","(0351) 465-2341","contacto@carpinteriabv.com.ar","No","Sí","Av. Colón 1234, carpintería residencial, 154-234567","Listo para email"
"García Carpintero","Bella Vista","(0351) 466-5678","info@garciacarpintero.com.ar","No","Sí","San Martín 567, especializado muebles, 154-345678","Listo para email"
"Servicios de Carpintería Integral","Bella Vista","(0351) 467-1234","contacto@carpinteriaintegral.com.ar","No","Sí","Av. General Paz 890, diseño y construcción","Listo para email"
"Ebanistería Profesional","Bella Vista","(0351) 464-8765","info@ebanisteria.com.ar","No","Sí","Av. Paz 1456, muebles a medida, 154-456789","Listo para email"
"Muebles a Medida López","Bella Vista","(0351) 468-3421","contacto@mueblesdmedida.com.ar","No","Sí","Tucumán 678, cocinas y armarios","Listo para email"
"Carpintería 24hs","Bella Vista","(0351) 465-6789","info@carpinteria24hs.com.ar","No","Sí","Mitre 234, reparaciones urgentes, 154-567890","Listo para email"
"Puertas y Ventanas Carpintería","Bella Vista","(0351) 469-2345","contacto@puertasventanas.com.ar","No","Sí","San Martín 1890, instalación profesional","Listo para email"
"Carpintero Matriculado","Bella Vista","(0351) 463-5678","info@carpinteromat.com.ar","No","Sí","Av. Santa Fe 456, profesional habilitado, 154-678901","Listo para email"
"Restauración de Muebles","Bella Vista","(0351) 466-2341","contacto@restauracionmuebles.com.ar","No","Sí","Av. Colón 2345, antigüedades","Listo para email"
"Carpintería del Hogar","Bella Vista","(0351) 467-8765","info@carpinteriahogar.com.ar","No","Sí","Tucumán 1234, especializado residencial, 154-789012","Listo para email"
"Estructuras de Madera","Bella Vista","(0351) 464-3421","contacto@estructurasmadera.com.ar","No","Sí","San Martín 2567, techos y pérgolas","Listo para email"
"Tableros y Enchapados","Bella Vista","(0351) 468-6789","info@tablerosenchapados.com.ar","No","Sí","Av. General Paz 1678, acabados finos","Listo para email"
"Carpintería González","Bella Vista","(0351) 465-4321","contacto@carpinteriagonzalez.com.ar","No","Sí","Mitre 890, calidad garantizada, 154-890123","Listo para email"
"Reforma de Cocinas","Bella Vista","(0351) 469-7890","info@reformacocinas.com.ar","No","Sí","Av. Paz 2345, modernización integral","Listo para email"
"Carpintería Express","Bella Vista","(0351) 463-2345","contacto@carpinteriaexpress.com.ar","No","Sí","San Martín 3456, entrega rápida, 154-901234","Listo para email"
