nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Electricidad Bella Vista","Bella Vista","(0351) 465-2341","contacto@electricidadbv.com.ar","No","Sí","Av. Colón 1234, instalación y reparación residencial, 154-234567","Listo para email"
"García Electricista","Bella Vista","(0351) 466-5678","info@garciaelectricista.com.ar","No","Sí","San Martín 567, especializado en hogares, 154-345678","Listo para email"
"Electricidad Profesional BV","Bella Vista","(0351) 467-1234","contacto@electricidadprofbv.com.ar","No","Sí","Av. General Paz 890, instalación profesional","Listo para email"
"Electro Servicios Bella Vista","Bella Vista","(0351) 464-8765","info@electroserviciosbv.com.ar","No","Sí","Av. Paz 1456, reparaciones y mantenimiento, 154-456789","Listo para email"
"Instalaciones Eléctricas López","Bella Vista","(0351) 468-3421","contacto@instalacioneslopez.com.ar","No","Sí","Tucumán 678, instalación integral","Listo para email"
"Electricidad 24hs Bella Vista","Bella Vista","(0351) 465-6789","info@electricidad24hsbv.com.ar","No","Sí","Mitre 234, servicio emergencias, 154-567890","Listo para email"
"Reparaciones Eléctricas BV","Bella Vista","(0351) 469-2345","contacto@reparacionesbv.com.ar","No","Sí","San Martín 1890, reparación rápida","Listo para email"
"Electricista Matriculado","Bella Vista","(0351) 463-5678","info@electricistamatricula.com.ar","No","Sí","Av. Santa Fe 456, matriculado y habilitado, 154-678901","Listo para email"
"Servicios Eléctricos Integral","Bella Vista","(0351) 466-2341","contacto@serviciosintegral.com.ar","No","Sí","Av. Colón 2345, instalación y diseño","Listo para email"
"Electricidad del Hogar","Bella Vista","(0351) 467-8765","info@electricidadhogar.com.ar","No","Sí","Tucumán 1234, especializado residencial, 154-789012","Listo para email"
"Electro Mantenimiento","Bella Vista","(0351) 464-3421","contacto@elektromantenimiento.com.ar","No","Sí","San Martín 2567, mantenimiento preventivo","Listo para email"
"Instalaciones de Seguridad Eléctrica","Bella Vista","(0351) 468-6789","info@seguridadelec.com.ar","No","Sí","Av. General Paz 1678, cámaras y alarmas","Listo para email"
"Electricista González","Bella Vista","(0351) 465-4321","contacto@electricistagonzalez.com.ar","No","Sí","Mitre 890, servicio residencial y comercial, 154-890123","Listo para email"
"Iluminación Profesional","Bella Vista","(0351) 469-7890","info@iluminacionprof.com.ar","No","Sí","Av. Paz 2345, diseño de iluminación","Listo para email"
"Electro Express Bella Vista","Bella Vista","(0351) 463-2345","contacto@electroexpressbv.com.ar","No","Sí","San Martín 3456, reparación urgente, 154-901234","Listo para email"
