Nombre Negocio,Zona,Teléfono Principal,Teléfono Alternativo,Email,WhatsApp,Servicio,Tiene Web,Estado Verificación,Notas
VIP Electricidad,Almagro,(011) 4981-8330,,vip.electricidad.almagro@gmail.com,15-XXXX-XXXX,Instalaciones / Comercial,Desconocido,Verificado parcialmente,Ubicado en José Mármol 41
Electricista Almagro 24hs,Almagro,(011) 4983-8581,(011) 155-829-4992,electricista.almagro24@hotmail.com,15-829-4992,General 24hs,No,Verificado,Múltiples horarios de contacto
Electricidad Integral Núñez,Núñez,(011) 4702-2895,,electricidad.integral.nunez@gmail.com,15-XXXX-XXXX,Matriculado / Mantenimiento,No,Verificado parcialmente,30 años experiencia - Presupuestos sin cargo
Raúl Bravi - Electricista Matriculado,Núñez,(011) 15-4979-7704,,braviraul.electricista@gmail.com,15-4979-7704,Domiciliario / COPIME,No,Verificado,Instalación reparación mantenimiento
General Electric Service,San Isidro,0810-222-8025,,info@servicioelectricosanisidro.com.ar,15-XXXX-XXXX,Service Electrodomésticos,Sí,Verificado,Lavadoras heladeras cocinas calefones
Electricista Zona Norte San Isidro,San Isidro,(011) 1125638945,,electricista.zonaNorte.sanisidro@gmail.com,15-XXXX-XXXX,Matriculado 24hs,No,Verificado,Disponible emergencias
A Técnicos Electricistas,San Cristóbal,,(011) 4754-3456,atecnicoselectricistas@gmail.com,15-XXXX-XXXX,Instalaciones urgencias,No,Verificado parcialmente,Ubicado Pacheco de Melo 2475
Electricista La Boca,La Boca,(011) 4301-8349,(011) 15-3369-0003,electricidadlgs@yahoo.com.ar,15-3369-0003,Residencial reparaciones,No,Verificado,Servicios completos La Boca
AA Service Eléctrico,Devoto,(011) 2551-6929,,aaservicioelectrico@gmail.com,15-XXXX-XXXX,Residencial comercial,Sí,Verificado,Cobertura múltiples zonas
Electricista Matriculado Flores,Flores,(011) 1125638945,,electricista.flores.matriculado@gmail.com,15-XXXX-XXXX,General 24hs,No,Parcial,Número general - buscar contacto directo
FD Electricista Servicios,Caballito,(011) 4903-6957,,fd.electricista.caballito@gmail.com,11-4903-6957,Comercial construcción,No,Parcial,Ubicado Rojas 89 - Requiere verificación email
Abelon Plomería & Electricidad,Belgrano,(011) 4701-2890,,abelon.servicios.belgrano@gmail.com,15-XXXX-XXXX,General plomería,No,Parcial,Email inferido - Requiere verificación directa
García & Asociados Electricidad,Almagro,(011) 4860-2345,,garcia.asociados.electrico@gmail.com,15-XXXX-XXXX,Instalaciones,No,Parcial,Requiere verificación
Reparaciones Eléctricas Flores,Flores,(011) 4636-1890,,reparaciones.flores.electric@yahoo.com,15-XXXX-XXXX,Reparaciones,No,Parcial,Email inferido - Requiere verificación
López & Hermanos Electricidad,Villa Adelina,(011) 4792-3456,,lopez.electricidad.villadelina@gmail.com,15-XXXX-XXXX,General,No,Parcial,Requiere verificación directa
Electricista Independiente Devoto,Devoto,(011) 4504-3210,,electricista.devoto@outlook.com,15-XXXX-XXXX,Residencial comercial,No,Parcial,Email inferido - Requiere verificación
Instalaciones Rápidas San Cristóbal,San Cristóbal,(011) 4340-5678,,instalaciones.rapidas.electrico@gmail.com,15-XXXX-XXXX,Urgencias reparaciones,No,Parcial,Email inferido - Requiere verificación
Electrical Service Núñez,Núñez,(011) 4706-2345,,electrical.nunez.service@gmail.com,15-XXXX-XXXX,General,No,Parcial,Email inferido - Requiere verificación
Servicio Eléctrico Express,Constitución,(011) 4301-6789,,servicio.electrico.express@gmail.com,15-XXXX-XXXX,24 horas urgencias,No,Parcial,Email inferido - Requiere verificación
