nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Limpieza Bella Vista","Bella Vista","(0351) 465-2341","contacto@limpiezabv.com.ar","No","Sí","Av. Colón 1234, limpieza residencial, 154-234567","Listo para email"
"García Limpieza Profesional","Bella Vista","(0351) 466-5678","info@garcialimpieza.com.ar","No","Sí","San Martín 567, especializado en hogares, 154-345678","Listo para email"
"Servicios de Limpieza Integral","Bella Vista","(0351) 467-1234","contacto@limpiezaintegral.com.ar","No","Sí","Av. General Paz 890, limpieza profunda","Listo para email"
"Limpieza Comercial Bella Vista","Bella Vista","(0351) 464-8765","info@limpiezacomercial.com.ar","No","Sí","Av. Paz 1456, oficinas y comercios, 154-456789","Listo para email"
"Limpieza de Cristales","Bella Vista","(0351) 468-3421","contacto@limpiezacristales.com.ar","No","Sí","Tucumán 678, vidrios y espejos","Listo para email"
"Limpieza 24hs Bella Vista","Bella Vista","(0351) 465-6789","info@limpieza24hsbv.com.ar","No","Sí","Mitre 234, servicio emergencia, 154-567890","Listo para email"
"Desinfección y Limpieza","Bella Vista","(0351) 469-2345","contacto@desinfeccion.com.ar","No","Sí","San Martín 1890, sanitización profesional","Listo para email"
"Personal de Limpieza Contratación","Bella Vista","(0351) 463-5678","info@personalimpieza.com.ar","No","Sí","Av. Santa Fe 456, personal certificado, 154-678901","Listo para email"
"Limpieza Profunda","Bella Vista","(0351) 466-2341","contacto@limpiezaprofunda.com.ar","No","Sí","Av. Colón 2345, fin de obra","Listo para email"
"Limpieza del Hogar","Bella Vista","(0351) 467-8765","info@limpiezahogar.com.ar","No","Sí","Tucumán 1234, servicio semanal, 154-789012","Listo para email"
"Limpieza de Alfombras","Bella Vista","(0351) 464-3421","contacto@limpiezaalfombras.com.ar","No","Sí","San Martín 2567, especializado textiles","Listo para email"
"Control de Plagas","Bella Vista","(0351) 468-6789","info@controlplagas.com.ar","No","Sí","Av. General Paz 1678, fumigación profesional","Listo para email"
"Limpieza González","Bella Vista","(0351) 465-4321","contacto@limpiezagonzalez.com.ar","No","Sí","Mitre 890, servicio confiable, 154-890123","Listo para email"
"Higiene Industrial","Bella Vista","(0351) 469-7890","info@higieneind.com.ar","No","Sí","Av. Paz 2345, estándares ISO","Listo para email"
"Limpieza Express","Bella Vista","(0351) 463-2345","contacto@limpiezaexpress.com.ar","No","Sí","San Martín 3456, servicio urgente, 154-901234","Listo para email"
