nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Pintura Bella Vista","Bella Vista","(0351) 465-2341","contacto@pinturabv.com.ar","No","Sí","Av. Colón 1234, pintura residencial, 154-234567","Listo para email"
"García Pintor Profesional","Bella Vista","(0351) 466-5678","info@garciapintor.com.ar","No","Sí","San Martín 567, especializado en hogares, 154-345678","Listo para email"
"Servicios de Pintura Integral","Bella Vista","(0351) 467-1234","contacto@pinturaintegral.com.ar","No","Sí","Av. General Paz 890, pintura decorativa","Listo para email"
"Pintura Comercial Bella Vista","Bella Vista","(0351) 464-8765","info@pinturacomercial.com.ar","No","Sí","Av. Paz 1456, locales y oficinas, 154-456789","Listo para email"
"Decoración de Interiores","Bella Vista","(0351) 468-3421","contacto@decoracioninteriores.com.ar","No","Sí","Tucumán 678, diseño de espacios","Listo para email"
"Pintura 24hs Bella Vista","Bella Vista","(0351) 465-6789","info@pintura24hsbv.com.ar","No","Sí","Mitre 234, reparaciones urgentes, 154-567890","Listo para email"
"Empapelado y Pintura","Bella Vista","(0351) 469-2345","contacto@empapeladopintura.com.ar","No","Sí","San Martín 1890, papeles importados","Listo para email"
"Pintor Matriculado","Bella Vista","(0351) 463-5678","info@pintormatricula.com.ar","No","Sí","Av. Santa Fe 456, profesional certificado, 154-678901","Listo para email"
"Pintura Artística","Bella Vista","(0351) 466-2341","contacto@pinturaartistica.com.ar","No","Sí","Av. Colón 2345, murales y efectos especiales","Listo para email"
"Pintura del Hogar","Bella Vista","(0351) 467-8765","info@pinturahogar.com.ar","No","Sí","Tucumán 1234, especializado residencial, 154-789012","Listo para email"
"Revestimientos y Pintura","Bella Vista","(0351) 464-3421","contacto@revestimientos.com.ar","No","Sí","San Martín 2567, piedra y madera","Listo para email"
"Estucos Decorativos","Bella Vista","(0351) 468-6789","info@estucosdecorativos.com.ar","No","Sí","Av. General Paz 1678, técnicas modernas","Listo para email"
"Pintura González","Bella Vista","(0351) 465-4321","contacto@pinturagozalez.com.ar","No","Sí","Mitre 890, calidad garantizada, 154-890123","Listo para email"
"Reforma y Pintura","Bella Vista","(0351) 469-7890","info@reformapintura.com.ar","No","Sí","Av. Paz 2345, remodelación integral","Listo para email"
"Pintura Express","Bella Vista","(0351) 463-2345","contacto@pinturaexpress.com.ar","No","Sí","San Martín 3456, presupuesto urgente, 154-901234","Listo para email"
