nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Plomería Bella Vista","Bella Vista","(0351) 465-2341","contacto@plomeriabv.com.ar","No","Sí","Av. Colón 1234, gasfitería residencial, 154-234567","Listo para email"
"García Plomero","Bella Vista","(0351) 466-5678","info@garciaplomero.com.ar","No","Sí","San Martín 567, especializado en instalaciones, 154-345678","Listo para email"
"Servicios de Plomería Profesional","Bella Vista","(0351) 467-1234","contacto@plomeriaprofbv.com.ar","No","Sí","Av. General Paz 890, gasfitería integral","Listo para email"
"Plomería 24hs Bella Vista","Bella Vista","(0351) 464-8765","info@plomeria24hsbv.com.ar","No","Sí","Av. Paz 1456, emergencias y roturas, 154-456789","Listo para email"
"Gasfitería López","Bella Vista","(0351) 468-3421","contacto@gasfiterialopez.com.ar","No","Sí","Tucumán 678, reparación y mantenimiento","Listo para email"
"Plomería del Hogar","Bella Vista","(0351) 465-6789","info@plomeriahogar.com.ar","No","Sí","Mitre 234, especializado residencial, 154-567890","Listo para email"
"Reparaciones Urgentes Plomería","Bella Vista","(0351) 469-2345","contacto@reparacionesurgentes.com.ar","No","Sí","San Martín 1890, desagües y filtraciones","Listo para email"
"Gasfitero Matriculado","Bella Vista","(0351) 463-5678","info@gasfiteromatricula.com.ar","No","Sí","Av. Santa Fe 456, matriculado profesional, 154-678901","Listo para email"
"Instalaciones Sanitarias Integral","Bella Vista","(0351) 466-2341","contacto@instalacionessanitarias.com.ar","No","Sí","Av. Colón 2345, baños y cocinas","Listo para email"
"Plomería González","Bella Vista","(0351) 467-8765","info@plomeriaonzalez.com.ar","No","Sí","Tucumán 1234, servicio rápido, 154-789012","Listo para email"
"Desagües y Cloacas","Bella Vista","(0351) 464-3421","contacto@desaguescloacas.com.ar","No","Sí","San Martín 2567, limpieza y destapaciones","Listo para email"
"Plomería Presupuesto Gratis","Bella Vista","(0351) 468-6789","info@plomeriagratis.com.ar","No","Sí","Av. General Paz 1678, sin cargo consulta","Listo para email"
"Reparación de Cañerías","Bella Vista","(0351) 465-4321","contacto@reparacioncanierias.com.ar","No","Sí","Mitre 890, reemplazo de tuberías, 154-890123","Listo para email"
"Sistemas de Agua","Bella Vista","(0351) 469-7890","info@sistemasagua.com.ar","No","Sí","Av. Paz 2345, tanques y bombas","Listo para email"
"Plomería Express","Bella Vista","(0351) 463-2345","contacto@plomeriaexpress.com.ar","No","Sí","San Martín 3456, atención urgente, 154-901234","Listo para email"
