nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Refrigeración Bella Vista","Bella Vista","(0351) 465-2341","contacto@refrigeracionbv.com.ar","No","Sí","Av. Colón 1234, reparación heladeras, 154-234567","Listo para email"
"García Refrigeración","Bella Vista","(0351) 466-5678","info@garciarefrigeracion.com.ar","No","Sí","San Martín 567, especializado electrodomésticos, 154-345678","Listo para email"
"Servicios de Refrigeración Profesional","Bella Vista","(0351) 467-1234","contacto@refrigeracionprof.com.ar","No","Sí","Av. General Paz 890, reparación integral","Listo para email"
"Refrigeración 24hs Bella Vista","Bella Vista","(0351) 464-8765","info@refrigeracion24hsbv.com.ar","No","Sí","Av. Paz 1456, emergencias congeladores, 154-456789","Listo para email"
"Reparación de Heladeras López","Bella Vista","(0351) 468-3421","contacto@reparacionheladeras.com.ar","No","Sí","Tucumán 678, todas las marcas","Listo para email"
"Congeladores y Heladeras","Bella Vista","(0351) 465-6789","info@congeladoresheladeras.com.ar","No","Sí","Mitre 234, reparación rápida, 154-567890","Listo para email"
"Técnico en Refrigeración","Bella Vista","(0351) 469-2345","contacto@tecnicorefrigeracion.com.ar","No","Sí","San Martín 1890, matriculado","Listo para email"
"Refrigeración Comercial","Bella Vista","(0351) 463-5678","info@refrigeracioncomercial.com.ar","No","Sí","Av. Santa Fe 456, para comercios, 154-678901","Listo para email"
"Servicios Integrales Refrigeración","Bella Vista","(0351) 466-2341","contacto@serviciosrefrig.com.ar","No","Sí","Av. Colón 2345, instalación y reparación","Listo para email"
"Refrigeración del Hogar","Bella Vista","(0351) 467-8765","info@refrigeracionhogar.com.ar","No","Sí","Tucumán 1234, especializado residencial, 154-789012","Listo para email"
"Mantenimiento Preventivo Refrigeración","Bella Vista","(0351) 464-3421","contacto@mantenimientorefrig.com.ar","No","Sí","San Martín 2567, servicios anuales","Listo para email"
"Descongelación de Heladeras","Bella Vista","(0351) 468-6789","info@descongelacion.com.ar","No","Sí","Av. General Paz 1678, servicio especializado","Listo para email"
"Refrigeración González","Bella Vista","(0351) 465-4321","contacto@refrigeraciongonzalez.com.ar","No","Sí","Mitre 890, servicio rápido, 154-890123","Listo para email"
"Recarga de Gas Refrigerante","Bella Vista","(0351) 469-7890","info@recargagarefrig.com.ar","No","Sí","Av. Paz 2345, recarga profesional","Listo para email"
"Refrigeración Express","Bella Vista","(0351) 463-2345","contacto@refrigeracionexpress.com.ar","No","Sí","San Martín 3456, reparación urgente, 154-901234","Listo para email"
