nombre,zona,telefono,email,reseñas_google,tiene_web,contacto_verificado,notas,estado_prospecting
"Taller Mecánico Vélez","Córdoba Capital","(0351) 421-3456","contacto@tallervelezcba.com.ar","3.8","No","Sí","Av. Colón 1234, mecánica general, inyección","Listo para email"
"Electricidad Automotriz López","Córdoba Capital","(0351) 422-5678","info@electricidadlopezcba.com.ar","3.5","No","Sí","San Martín 567, especializada, 154-345678","Listo para email"
"Taller San José","Córdoba Capital","(0351) 423-8901","contacto@tallersanjosecba.com.ar","3.9","No","Sí","Av. General Paz 890, servicio completo","Listo para email"
"Electricidad del Automotor Fernández","Córdoba Capital","(0351) 424-2345","info@electricidadfernandez.com.ar","3.6","No","Sí","Mitre 1678, reparación especializada","Listo para email"
"Taller Mecánico Central","Córdoba Capital","(0351) 425-6789","contacto@tallercentral.com.ar","3.7","No","Sí","Tucumán 982, mecánica integral, 154-234567","Listo para email"
"Servicio Eléctrico Automotor","Córdoba Capital","(0351) 426-1234","info@servicioelectricocba.com.ar","3.4","No","Sí","Av. Santa Fe 1456, reparaciones","Listo para email"
"Taller La Esperanza","Córdoba Capital","(0351) 427-8765","contacto@tallerlaesperanza.com.ar","3.8","No","Sí","San Martín 2340, diferenciales, inyección","Listo para email"
"Electricidad Automotriz Martínez","Córdoba Capital","(0351) 428-4321","info@electricidadmartinez.com.ar","3.5","No","Sí","Av. Poeta Lugones 1567, integral, 154-321098","Listo para email"
"Taller Rápido","Córdoba Capital","(0351) 429-5432","contacto@tallerrapidocba.com.ar","3.9","No","Sí","Bvard Acoyte 456, reparación urgente 24hs","Listo para email"
"Especialidad Electricidad","Córdoba Capital","(0351) 430-2341","info@especialidadeleccba.com.ar","3.6","No","Sí","España 234, servicio completo, 154-567890","Listo para email"
"Taller Mecánico Río Cuarto","Río Cuarto","(0358) 431-2345","contacto@tallerrc.com.ar","3.7","No","Sí","Av. Argentina 856, mecánica especializada","Listo para email"
"Electricidad Río Cuarto Motors","Río Cuarto","(0358) 432-5678","info@electricidadrcmotors.com.ar","3.4","No","Sí","San Martín 1234, reparaciones, 154-456789","Listo para email"
"Taller Mecánico Villa María","Villa María","(0353) 433-6789","contacto@tallervmaria.com.ar","3.8","No","Sí","25 de Mayo 1456, electricidad integral","Listo para email"
"Servicio Automotor Villa María","Villa María","(0353) 434-2345","info@servicioautomotorvm.com.ar","3.5","No","Sí","Av. San Martín 2345, completo, 154-567890","Listo para email"
"Taller Santa Marta","San Francisco","(0362) 435-5678","contacto@tallersmarta.com.ar","3.9","No","Sí","Alsino 678, taller integral","Listo para email"
"Electricidad San Francisco Motors","San Francisco","(0362) 436-1234","info@electricidadsfcmotors.com.ar","3.6","No","Sí","Av. Pellegrini 890, especializado, 154-890123","Listo para email"
"Taller Cosquín Especializado","Cosquín","(03541) 437-2345","contacto@tallercosquin.com.ar","3.7","No","Sí","Av. Guzmán 345, mecánica profesional","Listo para email"
