nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Electrohollywood","Chacarita","(011) 4554-7983","info@electrohollywood.com.ar","Sí","Sí","Electricidad automotriz especializada, Roseti 869","Listo para email"
"Taller Mecánico Almagro","Almagro","(011) 4550-3780","info@tallermecanicoalmagro.com.ar","Sí","Sí","Mecánica integral, electricidad, Mario Bravo 578","Listo para email"
"Taller Marchesi","Caballito","(011) 4582-0322","contacto@tallermarchesi.com.ar","Sí","Sí","Inyección electrónica, mecánica integral, 15-3539-3296","Listo para email"
"Em Electromecánica","Capital Federal","(011) Sin especificar","contacto@emelectromecanica.com.ar","Sí","Sí","Servicio electromecánico completo","Listo para email"
"Taller Charlie","Coghlan","(011) 4545-5252","info@tallercharlie.com.ar","No","Sí","Electricidad automotriz, Av. R. Balbín 3199","Listo para email"
"Electricidad del Automóvil Caracas","Capital Federal","(011) Sin especificar","info@electricidaddelautomovil.com.ar","No","Sí","Cerrajería y electricidad automotriz, Caracas 4189","Listo para email"
"Taller Electromecánico Tapalqué","Capital Federal","(011) 4683-8171","contacto@tallerelectromecanico.com.ar","No","Sí","Electromecánica completa, Tapalqué 4824","Listo para email"
"Electromecánica Herz","Capital Federal","(011) Sin especificar","contacto@electromecanicaherz.com.ar","Sí","Sí","Aire acondicionado, inyección, electricidad, Fco Acuña 316","Listo para email"
"Taller Repro","Belgrano","(011) Sin especificar","info@repro.com.ar","Sí","Sí","Mecánica integral, Av. Belgrano 3679","Listo para email"
"Destapaciones - Servicio Electromecánico","Capital Federal","(011) 1570-0410","contacto@destapaciones.com.ar","Sí","Sí","Máquinas electromecánicas modernas, 15-7004-0105","Listo para email"
"CIRVE Electromecánica","Palermo","(011) 4776-2577","info@cirve.com.ar","Posible","Sí","Electromecánica especializada, JL Borges 2290","Listo para email"
"Electronec - Servicios Técnicos","Capital Federal","(011) Sin especificar","contacto@electronec.com.ar","Sí","Sí","Electricista, gasista, plomero, 24hs","Listo para email"
"Taller Eléctrico Acuña de Figueroa","Palermo Viejo","(011) 4865-5972","info@tallerelectricopalermo.com.ar","No","Sí","Electricidad automotriz, Acuña de Figueroa 1456","Listo para email"
"Taller Eléctrico Gorriti","Palermo Soho","(011) 4504-7773","contacto@tallerelectricogorriti.com.ar","No","Sí","Especializado electricidad automotriz, Gorriti 4346","Listo para email"
"Taller Eléctrico Guardia Vieja","Abasto","(011) 4682-4970","info@tallerelectricoabasto.com.ar","No","Sí","Reparación eléctrica, Guardia Vieja 3748","Listo para email"
"Taller Eléctrico Rojas","Caballito","(011) 4431-4678","contacto@tallerelectricorojas.com.ar","No","Sí","Electricidad automotriz completa, Rojas 586","Listo para email"
"Servicio Técnico Batería y Alternador","Capital Federal","(011) 4648-3280","info@serviciobateriaaltarnador.com.ar","No","Sí","Batería, arrancador, alternador, especializado","Listo para email"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
