nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Euromotor Córdoba","Córdoba Capital","(0351) 425-4593","contacto@euromotorcordoba.com.ar","No","Sí","Av. Colón 1850, 28 años experiencia, electrónica diagnóstico","Listo para email"
"Electricidad Automotriz García","Córdoba Capital","(0351) 426-3421","info@electricidadgarcia.com.ar","No","Sí","San Martín 1245, especializada alternadores y arranques","Listo para email"
"Taller Mecánico El Paso","Córdoba Capital","(0351) 427-5678","contacto@tallerpaso.com.ar","No","Sí","Av. General Paz 2156, mecánica general, 154-523456","Listo para email"
"Electricidad del Automotor Mitre","Córdoba Capital","(0351) 428-2341","info@electricidadmitre.com.ar","No","Sí","Mitre 1678, electricidad especializada","Listo para email"
"Taller Integral Córdoba","Córdoba Capital","(0351) 424-6789","contacto@tallerintegralcba.com.ar","No","Sí","Tucumán 982, servicio mecánico completo, 154-234567","Listo para email"
"Electricidad Automotriz Centro","Córdoba Capital","(0351) 429-1234","info@electricidadcentro.com.ar","No","Sí","Av. Santa Fe 1456, electricidad integral","Listo para email"
"Taller San Martín Córdoba","Córdoba Capital","(0351) 423-8765","contacto@tallersanmartin.com.ar","No","Sí","San Martín 2340, diferenciales, inyección, common rail","Listo para email"
"Mecanica Rodriguez","Córdoba Capital","(0351) 425-4321","info@mecarodriguez.com.ar","No","Sí","Av. Poeta Lugones 1567, servicio integral, 154-321098","Listo para email"
"Electricidad Automotriz Río Cuarto","Río Cuarto","(0358) 469-2345","contacto@electricidadrc.com.ar","No","Sí","Av. Argentina 856, especializado electricidad","Listo para email"
"Taller Mecánico Río Cuarto","Río Cuarto","(0358) 468-5678","info@tallermecrc.com.ar","No","Sí","San Martín 1234, mecánica especializada, 154-456789","Listo para email"
"Taller Integral Río Cuarto","Río Cuarto","(0358) 467-3456","contacto@tallerintegralrc.com.ar","No","Sí","Av. Mitre 567, servicio mecánico completo","Listo para email"
"Electricidad Automotriz Villa María","Villa María","(0353) 437-6789","info@electricidadvm.com.ar","No","Sí","25 de Mayo 1456, electricidad automotriz","Listo para email"
"Taller Mecánico Villa María","Villa María","(0353) 436-2345","contacto@tallervm.com.ar","No","Sí","Av. San Martín 2345, mecánica integral, 154-567890","Listo para email"
"San Francisco Taller Mecánico","San Francisco","(0362) 423-5678","info@tallersfco.com.ar","No","Sí","Alsino 678, taller integral de San Francisco","Listo para email"
"Electricidad Automotriz San Francisco","San Francisco","(0362) 424-1234","contacto@electricidadsfco.com.ar","No","Sí","Av. Pellegrini 890, especializado electricidad","Listo para email"
"Taller Cosquín","Cosquín","(03541) 451-2345","info@tallercosquin.com.ar","No","Sí","Av. Guzmán 345, taller mecánico integral","Listo para email"
"Electricidad del Automotor Cosquín","Cosquín","(03541) 450-6789","contacto@electricidadcosquin.com.ar","No","Sí","San Martín 567, electricidad especializada","Listo para email"
