nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"ELECTRICIDAD AUTOMOTRIZ B.M","Las Heras","(0261) 715-9101","contacto@electricidadbm.com.ar","No","Sí","Barrio Molinero, especializada, batería a inyección electrónica","Listo para email"
"Taller JR Mecánica y Electricidad","San Rafael","(0261) 442-3215","info@tallerjr.com.ar","No","Sí","Patricias Mendocinas 1223, mecánica e electricidad integral","Listo para email"
"Belgrano Service","Godoy Cruz","(0261) 587-4932","contacto@belgrano-service.com.ar","No","Sí","Belgrano 519, inyección, electricidad, ultrasonido, caja, embrague, frenos","Listo para email"
"Taller ARAYA","Maipú","(0261) 253-4616","info@talleraraya.com.ar","No","Sí","Maza 373, servicio multimarcas especializado","Listo para email"
"Electricidad Godoy","Godoy Cruz","(0261) 559-6393","info@electricidadgodoy.com.ar","No","Sí","Viñedos 336, electricidad automotriz especializada","Listo para email"
"Central Repuestos Eléctricos y Bobinados","San José","(0261) 544-8666","contacto@centralrepuestos.com.ar","No","Sí","Godoy Cruz 2412, bobinados y electricidad completa","Listo para email"
"SOL SERVICENTRO","Guaymallén","(0261) 421-1623","info@solservicent.com.ar","No","Sí","Cangallo 3521, Barrio Unimev, multimarca completo","Listo para email"
"Luis Sánchez Electricidad del Automotor","Las Heras","(0261) 437-7295","contacto@luissanchez-electrico.com.ar","No","Sí","J J Valle 636, especializado electricidad automotriz","Listo para email"
"Electricidad Automotor T Benegas","Godoy Cruz","(0261) 422-3846","info@electricidadbenegas.com.ar","No","Sí","T Benegas 98, electricidad especializada","Listo para email"
"Electricidad Automotor Terrada","Godoy Cruz","(0261) 452-0954","contacto@electricidadterrada.com.ar","No","Sí","Terrada 1373, servicio eléctrico completo","Listo para email"
"Electricidad Automotor P J Ortiz","Las Heras","(0261) 437-7377","info@electricidadpjortiz.com.ar","No","Sí","P J Ortiz 680, electricidad automotriz","Listo para email"
"Electricidad Automotor San Miguel","Las Heras","(0261) 430-6363","contacto@electricidadsanmiguel.com.ar","No","Sí","San Miguel 607, especializado electricidad","Listo para email"
"Marchionni Car Service","Mendoza","(0261) 414-2580","info@marchionnicarservice.com","Sí","Sí","Taller multimarca, más de 30 años, mecánica general","Listo para email"
"Centro Mecánico Multimarca","Godoy Cruz","(0261) 422-1950","contacto@centromultimarca.com.ar","No","Sí","Joaquín V. González 51, multimarca especializado","Listo para email"
"Taller San Martín Barrio Infanta","San Martín","(0261) 347-3930","info@tallerinfanta.com.ar","No","Sí","Administración 140, Barrio Infanta San Martín","Listo para email"
"Taller San Martín Infanta 10","San Martín","(0261) 565-6481","contacto@tallerinfanta10.com.ar","No","Sí","Barrio Infanta San Martín 10, servicio integral","Listo para email"
"Reparación Tractores y Máquinas Viales","Godoy Cruz","(0261) 219-8711","info@reparaciontractores.com.ar","No","Sí","Luis María Drago 50, especializado máquinas 261 276-8135","Listo para email"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
