nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Euromotor Neuquén","Neuquén Capital","(0299) 443-4593","contacto@euromotorneuquen.com","Sí","Sí","San Martín 1756, 29 años experiencia, electrónica diagnóstico","Listo para email"
"Electro-quen","Neuquén Capital","(0299) 443-4634","info@electroquen.com.ar","No","Sí","J.B. Justo 967, headlight alignment, alternadores arranques","Listo para email"
"Taller Mecánico Siciliano","Neuquén Capital","(0299) 442-3571","contacto@tallersiciliano.com.ar","No","Sí","Tierra del Fuego 851, mecánica general, electromecánica, 154-763076","Listo para email"
"Electricidad del Automotor Johny","Neuquén Capital","(0299) 447-4126","johny@electricidaddauto.com.ar","No","Sí","Lanín 1171, especializada, 154-022802","Listo para email"
"Electricidad del Automotor T.L. Planas","Neuquén Capital","(0299) 447-0719","contacto@electricidadplanas.com.ar","No","Sí","T.L. Planas 743, electricidad especializada","Listo para email"
"Electricidad del Automotor F. San Martín","Neuquén Capital","(0299) 443-5848","info@electricidadsanmartin.com.ar","No","Sí","F. San Martín 826, electricidad automotriz completa","Listo para email"
"Electricidad del Automotor Río Negro","Neuquén Capital","(0299) 448-5331","contacto@electricidadronegro.com.ar","No","Sí","Río Negro 686, servicio eléctrico integral","Listo para email"
"Electricidad del Automotor Maipú","Neuquén Capital","(0299) 442-5457","info@electricidadmaipu.com.ar","No","Sí","Maipú 668, especializado electricidad","Listo para email"
"Electricidad del Automotor Lanín","Neuquén Capital","(0299) 489-8499","contacto@electricidadalanin.com.ar","No","Sí","Lanín 363, electricidad completa 24hs","Listo para email"
"Taller San Martín 1554","Neuquén Capital","(0299) 442-3571","info@tallersmarin1554.com.ar","No","Sí","San Martín 1554, diferenciales, inyección, common rail, electricidad","Listo para email"
"Agustín Contreras Taller","Neuquén Capital","(0299) 448-6239","contacto@augustincontreras.com.ar","No","Sí","J. Fava 569, servicio mecánico completo","Listo para email"
"GPS Taller - Servicio A&M","Cipolletti","(0299) 409-7405","info@gpstaller.com.ar","No","Sí","Gral. Pacheco 585, mecánica especializada, 154-763076","Listo para email"
"Cigütap Rectificación","Cipolletti","(0299) 478-6265","contacto@cigutap.com.ar","Sí","Sí","Suipacha 118, rectificación de motores","Listo para email"
"Taller Mecánico Falucho","Cipolletti","(0299) 408-0066","info@tallerfahucho.com.ar","No","Sí","Falucho 874, cajas de cambios, mecánica integral","Listo para email"
"Taller Mecánico Peña","Zapala","(02942) 421-803","contacto@tallerpenazapala.com.ar","No","Sí","Uriburu 16, taller integral de Zapala","Listo para email"
"Electromecánica Sánchez H","Neuquén Capital","(0299) 443-2847","info@electromecaniasanchez.com.ar","No","Sí","Servicio integral electromecánico","Listo para email"
"Taller Mecánico General Neuquén","Neuquén Capital","(0299) 444-3210","contacto@tallergeneral.com.ar","No","Sí","Servicio mecánico general completo","Listo para email"
"","","","","","","",""
"","","","","","","",""
