nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Arqued Electricidad Del Automotor","Salta Capital","(0387) 422-2428","arturoarqued@gmail.com","No","Sí","Francisco Arias 628, especializada alternadores y arranques","Listo para email"
"Mecanica Integral Dean Funes","Salta Capital","(0387) 514-5540","abeldiaz201461@gmail.com","No","Sí","Dean Funes 2568, aire acondicionado, electricidad integral","Listo para email"
"Salta Electro","Salta Capital","(0387) 431-0461","contacto@saltaelectro.com.ar","No","Sí","Av San Martín 1376, electricidad automotriz, 4.7 estrellas","Listo para email"
"Taller Mecánico El Gringo","Salta Capital","(0387) 420-4512","info@tallergringo.com.ar","No","Sí","Av Constitución Nacional 773, inyección, caja automática","Listo para email"
"Electromecánica Barrios Bobinados","Salta Capital","(0387) 431-2847","contacto@electromecanicarrios.com.ar","No","Sí","Gorriti 359, bobinados industriales y automotriz","Listo para email"
"Electricidad Del Automotor General Mitre","Salta Capital","(0387) 439-9170","info@electricidadmitre.com.ar","No","Sí","General Mitre 2534, electricidad automotriz especializada","Listo para email"
"Electricidad Del Automotor Gorriti","Salta Capital","(0387) 422-7611","contacto@electricidadgorriti.com.ar","No","Sí","General J. Gorriti 442, servicio eléctrico completo","Listo para email"
"Electricidad Del Automotor Orán","Salta Capital","(0387) 423-1636","info@electricidadoran.com.ar","No","Sí","Orán 1202, electricidad automotriz integral","Listo para email"
"Electricidad Del Automotor Santa Fe","Salta Capital","(0387) 423-2708","contacto@electricidadsantafe.com.ar","No","Sí","Santa Fe 827, especializado electricidad automotriz","Listo para email"
"Electricidad Del Automotor Lavalle","Salta Capital","(0387) 423-4691","info@electricidadlavalle.com.ar","No","Sí","General Lavalle 726, servicio eléctrico 24hs","Listo para email"
"Electricidad Del Automotor Lerma","Salta Capital","(0387) 423-4123","contacto@electricidadlerma.com.ar","No","Sí","H D Lerma 1012, Electro Centro SH","Listo para email"
"Electricidad Del Automotor Lamadrid","Salta Capital","(0387) 431-5805","info@electricidadlamadrid.com.ar","No","Sí","General Lamadrid 649, electricidad automotriz","Listo para email"
"Cero Km Repuestos Electricidad","Salta Capital","(0387) 421-5515","contacto@cerokmrepuestos.com.ar","No","Sí","Electricidad del automotor, repuestos y baterías","Listo para email"
"Taller Emiir Orán","Orán","(0387) 487-2345","info@talleremiir.com.ar","No","Sí","Gral Pizarro 88, taller mecánico integral","Listo para email"
"Taller Mecánico Integral Orán","Orán","(0387) 485-3215","contacto@talleroranintegral.com.ar","No","Sí","H De Lerma 225, inyección electrónica, motor, frenos","Listo para email"
"Mecanica Tartagal","Tartagal","(0387) 496-1234","info@mecanicatartagal.com.ar","No","Sí","Especializado camiones y vehículos pesados","Listo para email"
"Electricidad RD SRL","Salta Capital","(0387) 433-4567","contacto@electricidadrd.com.ar","No","Sí","Especializado sistemas eléctricos automotrices","Listo para email"
"","","","","","","",""
"","","","","","","",""
