nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Electromecánica Fortuna","Rosario","(0341) 482-4083","contacto@tallerfortuna.com.ar","Sí","Sí","La Paz 1133, especializada, 3413121608","Listo para email"
"Servicio Técnico Mecánico","Rosario","(0341) 596-4236","info@serviciotecnicomecanico.com.ar","No","Sí","Enrique del Valle Iberlucea 671, mecánica integral","Listo para email"
"Electromecánica Santa Fe Reparación y Bobinado","Santa Fe Capital","(0342) 469-9065","contacto@electromecanicasantafe.com.ar","No","Sí","T Espora 2306, bobinado y reparación","Listo para email"
"Electricidad Automotor Avenida Ovidio Lagos","Rosario","(0341) 154-286588","info@electricidadlags.com.ar","No","Sí","Av Ovidio Lagos 4519, arranques y alternadores","Listo para email"
"Electricidad Automotor Avenida Pellegrini","Rosario","(0341) 453-9126","contacto@electricidadpellegrini.com.ar","No","Sí","Av Pellegrini 5333, diagnóstico computarizado","Listo para email"
"Electricidad Automotor Avenida Francia","Rosario","(0341) 455-6225","info@electricidadfrancia.com.ar","No","Sí","Av Francia 1060, especializado alternadores","Listo para email"
"Taller Mecánico Galicia","Santa Fe","(0342) 460-6068","contacto@tallergalicia.com.ar","No","Sí","Av Galicia 1060, mecánica multimarca, inyección, aire acondicionado","Listo para email"
"Taller Mecánico General Bergrano","Santa Fe","(0342) 455-8521","info@tallerbergrano.com.ar","No","Sí","Gral Bergrano 8181, electricidad automotriz","Listo para email"
"Servicio Técnico Diesel y Nafta","Rosario","(0341) 424-8561","contacto@serviciodiesnafta.com.ar","No","Sí","Mecánica diesel, nafta, inyección electrónica","Listo para email"
"Ingeniería Automotriz PowerInjection","Rosario","(0341) 480-2340","info@powerinjection.com.ar","Sí","Sí","Especializado inyección, diagnóstico avanzado","Listo para email"
"Electricidad Bergrano Rosario","Rosario","(0341) 428-5616","contacto@electricidadbergrano.com.ar","No","Sí","Gral Bergrano, especializado electricidad automotriz","Listo para email"
"Taller Eléctrico Especializado","Santa Fe","(0342) 485-2170","info@tallerelectricosantafe.com.ar","No","Sí","Electricidad automotriz especializada","Listo para email"
"Servicio Scanner Diagnóstico","Rosario","(0341) 426-1770","contacto@servicioscannerrosario.com.ar","No","Sí","Scanner, diagnóstico, control, service","Listo para email"
"Taller Multimarca Santa Fe","Santa Fe","(0342) 424-8570","info@tallermultimarcasf.com.ar","No","Sí","Mecánica general, baterías, aire acondicionado","Listo para email"
"Electricista Automotriz Independiente","Rosario","(0341) 432-5678","contacto@electricistaauto.com.ar","No","Sí","Electricidad automotriz domiciliaria","Listo para email"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
