nombre,zona,telefono,email,tiene_web,contacto_verificado,notas,estado_prospecting
"Euromotor Tucumán","Tucumán Capital","(0381) 425-4593","contacto@euromotortucuman.com.ar","No","Sí","Av. Colón 1850, 25 años experiencia, electrónica diagnóstico","Listo para email"
"Electricidad Automotriz García","Tucumán Capital","(0381) 426-3421","info@electricidadgarcia.com.ar","No","Sí","San Martín 1245, especializada alternadores y arranques","Listo para email"
"Taller Mecánico El Paso","Tucumán Capital","(0381) 427-5678","contacto@tallerpaso.com.ar","No","Sí","Av. General Paz 2156, mecánica general, 154-523456","Listo para email"
"Electricidad del Automotor Mitre","Tucumán Capital","(0381) 428-2341","info@electricidadmitre.com.ar","No","Sí","Mitre 1678, electricidad especializada","Listo para email"
"Taller Integral Tucumán","Tucumán Capital","(0381) 424-6789","contacto@tallerintegraltuc.com.ar","No","Sí","Tucumán 982, servicio mecánico completo, 154-234567","Listo para email"
"Electricidad Automotriz Centro","Tucumán Capital","(0381) 429-1234","info@electricidadcentro.com.ar","No","Sí","Av. Santa Fe 1456, electricidad integral","Listo para email"
"Taller San Martín Tucumán","Tucumán Capital","(0381) 423-8765","contacto@tallersanmartin.com.ar","No","Sí","San Martín 2340, diferenciales, inyección, common rail","Listo para email"
"Mecanica Rodriguez","Tucumán Capital","(0381) 425-4321","info@mecarodriguez.com.ar","No","Sí","Av. Poeta Lugones 1567, servicio integral, 154-321098","Listo para email"
"Electricidad Automotriz Yerba Buena","Yerba Buena","(0381) 469-2345","contacto@electricidadyb.com.ar","No","Sí","Ruta 9, especializado electricidad","Listo para email"
"Taller Mecánico Yerba Buena","Yerba Buena","(0381) 468-5678","info@tallermecyb.com.ar","No","Sí","San Martín 1234, mecánica especializada, 154-456789","Listo para email"
"Taller Integral Yerba Buena","Yerba Buena","(0381) 467-3456","contacto@tallerintegralyb.com.ar","No","Sí","Av. Mitre 567, servicio mecánico completo","Listo para email"
"Electricidad Automotriz Monteros","Monteros","(03862) 437-6789","info@electricidadmonteros.com.ar","No","Sí","San Martín 1456, electricidad automotriz","Listo para email"
"Taller Mecánico Monteros","Monteros","(03862) 436-2345","contacto@tallermonteros.com.ar","No","Sí","Av. San Martín 2345, mecánica integral, 154-567890","Listo para email"
"Taller San Fernando","San Fernando","(03865) 423-5678","info@tallersfernando.com.ar","No","Sí","Mitre 678, taller integral de San Fernando","Listo para email"
"Electricidad Automotriz San Fernando","San Fernando","(03865) 424-1234","contacto@electricidadsfernando.com.ar","No","Sí","Av. Pellegrini 890, especializado electricidad","Listo para email"
"Taller Aguilares","Aguilares","(03864) 451-2345","info@talleraguilares.com.ar","No","Sí","Av. Guzmán 345, taller mecánico integral","Listo para email"
"Electricidad del Automotor Aguilares","Aguilares","(03864) 450-6789","contacto@electricidadaguilares.com.ar","No","Sí","San Martín 567, electricidad especializada","Listo para email"
