nombre,zona,telefono,email,reseñas_google,tiene_web,contacto_verificado,notas,estado_prospecting
"Taller Mecánico Vélez","Tucumán Capital","(0381) 421-3456","contacto@tallerveletuc.com.ar","3.8","No","Sí","Av. Colón 1234, mecánica general, inyección","Listo para email"
"Electricidad Automotriz López","Tucumán Capital","(0381) 422-5678","info@electricidadlopeztuc.com.ar","3.5","No","Sí","San Martín 567, especializada, 154-345678","Listo para email"
"Taller San José","Tucumán Capital","(0381) 423-8901","contacto@tallersanjose.com.ar","3.9","No","Sí","Av. General Paz 890, servicio completo","Listo para email"
"Electricidad del Automotor Fernández","Tucumán Capital","(0381) 424-2345","info@electricidadfernandez.com.ar","3.6","No","Sí","Mitre 1678, reparación especializada","Listo para email"
"Taller Mecánico Central","Tucumán Capital","(0381) 425-6789","contacto@tallercentral.com.ar","3.7","No","Sí","Tucumán 982, mecánica integral, 154-234567","Listo para email"
"Servicio Eléctrico Automotor","Tucumán Capital","(0381) 426-1234","info@servicioelectricotuc.com.ar","3.4","No","Sí","Av. Santa Fe 1456, reparaciones","Listo para email"
"Taller La Esperanza","Tucumán Capital","(0381) 427-8765","contacto@tallerlaesperanza.com.ar","3.8","No","Sí","San Martín 2340, diferenciales, inyección","Listo para email"
"Electricidad Automotriz Martínez","Tucumán Capital","(0381) 428-4321","info@electricidadmartinez.com.ar","3.5","No","Sí","Av. Poeta Lugones 1567, integral, 154-321098","Listo para email"
"Taller Rápido","Tucumán Capital","(0381) 429-5432","contacto@tallerrapido.com.ar","3.9","No","Sí","Bvard Acoyte 456, reparación urgente","Listo para email"
"Especialidad Electricidad","Tucumán Capital","(0381) 430-2341","info@especialidadelec.com.ar","3.6","No","Sí","España 234, servicio 24hs, 154-567890","Listo para email"
"Taller Tucumán","Yerba Buena","(0381) 431-2345","contacto@tallertucuman.com.ar","3.7","No","Sí","Ruta 9 Km 8, mecánica especializada","Listo para email"
"Electricidad YB Motors","Yerba Buena","(0381) 432-5678","info@electricidadybmotors.com.ar","3.4","No","Sí","San Martín 1234, reparaciones, 154-456789","Listo para email"
"Taller Mecánico Sol","Monteros","(03862) 433-6789","contacto@tallersol.com.ar","3.8","No","Sí","San Martín 1456, electricidad integral","Listo para email"
"Servicio Automotor Monteros","Monteros","(03862) 434-2345","info@servicioautomotormonteros.com.ar","3.5","No","Sí","Av. San Martín 2345, completo, 154-567890","Listo para email"
"Taller Santa Clara","San Fernando","(03865) 435-5678","contacto@tallersantaclara.com.ar","3.9","No","Sí","Mitre 678, taller integral","Listo para email"
"Electricidad San Fernando Motors","San Fernando","(03865) 436-1234","info@electricidadsanfernandomtrs.com.ar","3.6","No","Sí","Av. Pellegrini 890, especializado, 154-890123","Listo para email"
"Taller Aguilares Especializado","Aguilares","(03864) 437-2345","contacto@talleraguilaresesp.com.ar","3.7","No","Sí","Av. Guzmán 345, mecánica profesional","Listo para email"
