firstname,lastname,email,phone,company,address,city,website,hs_lead_status
Don,Julio,info@parrilladonjulio.com.ar,+54 11 4831-9564,Don Julio Parrilla,"Guatemala 4691, Palermo Viejo",Buenos Aires,parrilladonjulio.com,lead
La,Cabrera,,+54 11 4831-7002,La Cabrera,"Laprida 1611, Flores",Buenos Aires,lacabrera.com.ar,lead
Fervor,,,"+54 11 5171-1330",Fervor - Parrilla Argentina,"Posadas 1519, Recoleta",Buenos Aires,,lead
BASABAR,,basa@basabar.com.ar,+54 11 4893-9444,BASABAR,"San Telmo",Buenos Aires,basabar.com.ar,lead
La,Brigada,,"+ 54 11 4307-1919",La Brigada,"Caseros 438, Barracas",Buenos Aires,,lead
RouX,,,"Peña 2300, Recoleta",RouX - Comida Francesa,"Peña 2300, Recoleta",Buenos Aires,,lead
Neko,,,"Av. Monroe 1850, Belgrano",Neko Belgrano,"Av. Monroe 1850, Belgrano",Buenos Aires,,lead
Mikhuna,,,"Microcentro",Mikhuna Nikkei,"Microcentro",Buenos Aires,,lead
El,Punto,,"+ 54 11 4924-0009",El Punto Bar,"Av. Directorio 702, Caballito",Buenos Aires,puntobar.com.ar,lead
Parrilla,,,"+ 54 11 4901-1972",Parrilla Caballito,"Del Barco Centenera 138, Caballito",Buenos Aires,,lead
Rosé,,,"+ 54 11 6275-9506",Rosé Restaurant Bar,"Caballito",Buenos Aires,rose.com.ar,lead
SACRO,,,"Palermo",SACRO Restaurant,"Palermo",Buenos Aires,sacro.com.ar,lead
Club,Progreso,,"Sarmiento 1334, Downtown",Club del Progreso,"Sarmiento 1334, Downtown",Buenos Aires,,lead
29noventa,,,"Belgrano",29noventa Restaurante,"Belgrano",Buenos Aires,29noventa.com.ar,lead
El,Caldén,,"Palermo Soho",El Caldén del Soho,"Palermo Soho",Buenos Aires,caldendelsoho.com,lead
Corchio,,,"Avenida La Heras 2001, Recoleta",Corchio,"Avenida La Heras 2001, Recoleta",Buenos Aires,,lead
El,Obrero,,"+ 54 11 4362-9912",El Obrero,"Agustín R. Caffarena 64, La Boca",Buenos Aires,,lead
Bodegón,,,"+ 54 11 3297-3030",Bodegón Caballito,"Nicasio Oroño 566, Caballito",Buenos Aires,,lead
Don,Carlos,,"+ 54 11 4362-2433",Don Carlos,"Brandsen 699, La Boca",Buenos Aires,,lead
Cucina,,,"+ 54 11 6275-9506",Cucina Paradiso,"Av. Pedro Goyena 1054, Caballito",Buenos Aires,,lead
Il,Matterello,,"+ 54 11 4307-0529",Il Matterello,"Martín Rodríguez 517, La Boca",Buenos Aires,,lead
Salve,,,"+ 54 11 3888-0056",Salve Cocina,"Emilio Mitre 301, Caballito",Buenos Aires,,lead
El,Pobre,,"+ 54 11 4780-5847",El Pobre Luis,"Belgrano",Buenos Aires,,lead
Menenga,,,"+ 54 11 6437-8166",Menenga,"Espinosa 480, Caballito",Buenos Aires,,lead
Le,Pain,,"Mrcal A. de Sucre 2151, Belgrano",Le Pain Quotidien,"Mrcal A. de Sucre 2151, Belgrano",Buenos Aires,,lead
